Date and time (UTC),power_conso_bat_a,power_conso_bat_b,power_conso_bat_c,power_conso_bat_d,pv_real,pv_arpege,airtemp_arpege
2024-10-01 00:00:00+00:00,1.34,2.31,5.8,1.953,-0.0,0.0,0.0
2024-10-01 00:05:00+00:00,1.86,3.28,4.83,1.967,-0.0,0.0,0.0
2024-10-01 00:10:00+00:00,1.17,2.76,5.16,2.05,-0.0,0.0,0.0
2024-10-01 00:15:00+00:00,1.05,1.86,4.84,1.94,-0.0,0.0,0.0
2024-10-01 00:20:00+00:00,0.96,1.9,4.42,1.808,-0.0,0.0,0.0
2024-10-01 00:25:00+00:00,1.97,1.86,4.65,1.879,-0.0,0.0,0.0
2024-10-01 00:30:00+00:00,2.0,2.76,4.27,1.937,-0.0,0.0,0.0
2024-10-01 00:35:00+00:00,2.13,3.37,4.45,1.962,-0.0,0.0,0.0
2024-10-01 00:40:00+00:00,2.13,2.61,4.76,1.858,-0.0,0.0,0.0
2024-10-01 00:45:00+00:00,2.18,1.28,4.44,1.958,-0.0,0.0,0.0
2024-10-01 00:50:00+00:00,2.19,1.18,4.74,2.098,-0.0,0.0,0.0
2024-10-01 00:55:00+00:00,2.17,0.99,5.09,2.024,-0.0,0.0,0.0
2024-10-01 01:00:00+00:00,2.39,1.9,4.71,2.012,-0.0,0.0,0.0
2024-10-01 01:05:00+00:00,2.51,2.35,4.75,2.1,-0.0,0.0,0.0
2024-10-01 01:10:00+00:00,2.64,1.71,4.82,1.86,-0.0,0.0,0.0
2024-10-01 01:15:00+00:00,2.33,1.17,4.41,1.884,-0.0,0.0,0.0
2024-10-01 01:20:00+00:00,1.18,1.09,4.87,1.874,-0.0,0.0,0.0
2024-10-01 01:25:00+00:00,1.1,1.05,4.44,1.879,-0.0,0.0,0.0
2024-10-01 01:30:00+00:00,1.32,2.28,4.16,1.755,-0.0,0.0,0.0
2024-10-01 01:35:00+00:00,2.17,2.59,4.65,1.667,-0.0,0.0,0.0
2024-10-01 01:40:00+00:00,2.1,1.53,4.89,1.858,-0.0,0.0,0.0
2024-10-01 01:45:00+00:00,2.07,1.1,4.89,1.924,-0.0,0.0,0.0
2024-10-01 01:50:00+00:00,2.08,1.23,5.04,1.984,-0.0,0.0,0.0
2024-10-01 01:55:00+00:00,2.15,1.17,4.7,2.176,-0.0,0.0,0.0
2024-10-01 02:00:00+00:00,2.23,2.46,4.56,2.211,-0.0,0.0,0.0
2024-10-01 02:05:00+00:00,2.06,2.51,5.16,1.981,-0.0,0.0,0.0
2024-10-01 02:10:00+00:00,1.81,1.36,4.46,2.201,-0.0,0.0,0.0
2024-10-01 02:15:00+00:00,1.02,1.15,4.49,3.376,-0.0,0.0,0.0
2024-10-01 02:20:00+00:00,1.17,1.14,4.9,3.305,-0.0,0.0,0.0
2024-10-01 02:25:00+00:00,1.53,1.13,5.02,2.868,-0.0,0.0,0.0
