InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,House,ExpectedDemand
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,1,788.8345111233509
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2,788.793279943035
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,3,800.9499656240185
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,4,863.4824749667533
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,5,796.5850909017206
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,5,1,820.6725525569384
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,5,2,823.5005094874258
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,5,3,811.9004667909124
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,5,4,837.495987166807
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,5,5,823.4836522815693
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,1,796.4803143918272
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,2,806.6169040789359
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,3,799.1393824846534
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,4,802.797304160767
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,5,789.6956141868382
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,5,1,847.1768354882819
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,5,2,848.4750227705518
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,5,3,823.1735827813537
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,5,4,832.0742873420818
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,5,5,851.3576360148794
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,5,1,800.5376405070961
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,5,2,801.3497488923432
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,5,3,829.176761534438
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,5,4,800.457077180675
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,5,5,1804.6077670236439
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,5,1,817.643581746591
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,5,2,912.430814202035
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,5,3,908.1561883191285
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,5,4,799.2151545542979
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,5,5,794.5250997147631
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,5,1,1404.4396334729913
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,5,2,799.4752414160791
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,5,3,785.7092722330887
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,5,4,797.305723198237
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,5,5,802.6602733995622
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,5,1,1116.560595820736
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,5,2,1117.8543859987733
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,5,3,1106.4332757152972
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,5,4,1129.6949530811999
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,5,5,1109.610581121194
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,5,1,800.9188059004571
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,5,2,803.0057803238868
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,5,3,1515.6184079064108
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,5,4,793.840291571161
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,5,5,770.6470294746638
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,5,1,828.4683935506818
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,5,2,822.0955275196831
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,5,3,820.9555295344218
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,5,4,825.0848803623068
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,5,5,820.6668216158171
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,1,797.9062488716492
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,2,796.9587855154358
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,3,799.7241225553128
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,4,805.8147300933349
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,5,802.491331014526
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,5,1,799.3443936435996
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,5,2,1041.789481031567
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,5,3,795.0023189708567
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,5,4,819.8412836034111
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,5,5,831.3420838542855
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,1,781.6954425492621
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,2,805.7991533043806
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,3,810.2345427114205
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,4,801.8017952411477
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,5,798.5608778625527
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,5,1,795.4248621600563
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,5,2,927.424193397491
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,5,3,833.5758195495675
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,5,4,931.7154448296936
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,5,5,812.7640534183738
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,5,1,836.6777584576255
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,5,2,1022.0675560913543
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,5,3,1041.4789661487564
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,5,4,899.2503121991535
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,5,5,1031.307124558689
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,5,1,808.7762680282625
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,5,2,1185.4669431817754
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,5,3,1198.1755231842517
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,5,4,836.3455803063922
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,5,5,807.7003940027446
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,5,1,816.1620250274202
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,5,2,1069.6537547352161
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,5,3,1089.179670402523
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,5,4,808.0669412225269
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,5,5,1085.5004413057948
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,5,1,809.9894592689566
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,5,2,790.809829433558
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,5,3,1145.0214917355363
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,5,4,1162.0720697411975
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,5,5,857.7933906565706
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,5,1,926.239233540409
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,5,2,914.7338066722017
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,5,3,851.9147832848149
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,5,4,811.5596878424981
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,5,5,920.3489108018111
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,5,1,820.745723581445
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,5,2,808.2688585557164
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,5,3,812.4712695073503
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,5,4,823.5590590154258
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,5,5,2131.162694479064
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,1,813.3146700240188
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2,797.9471760238531
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,3,736.5055466422987
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,4,855.9929407436778
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,5,801.5728297965703
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,5,1,820.0418191258268
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,5,2,823.0792895640783
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,5,3,818.049289170982
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,5,4,814.2883379508899
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,5,5,807.1990765326584
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,1,811.5539092856767
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,2,815.4601422894619
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,3,859.7926883046733
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,4,798.054587586188
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,5,798.9320302770335
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,5,1,794.3089850887078
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,5,2,801.1893076063438
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,5,3,817.009186716966
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,5,4,823.2592211162984
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,5,5,810.830824352408
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,5,1,885.5628799070597
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,5,2,845.3290297658311
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,5,3,801.9414717009283
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,5,4,889.1279672315535
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,5,5,800.4387659928757
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,5,1,1016.6035000472483
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,5,2,1006.1674085366436
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,5,3,1062.101371941708
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,5,4,1059.2510057108161
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,5,5,1005.2854195563876
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,5,1,799.6067090716297
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,5,2,798.2310892325021
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,5,3,1516.968976525312
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,5,4,798.2032308228999
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,5,5,798.5640177919292
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,5,1,799.0102487549499
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,5,2,1169.0235397254794
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,5,3,823.7723948487934
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,5,4,830.1420048257299
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,5,5,801.718424578289
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,5,1,832.1140752673105
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,5,2,698.2901963184158
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,5,3,819.2319551575924
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,5,4,859.0998096201831
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,5,5,1495.0206996999723
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,5,1,813.7904173103238
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,5,2,761.9100386758192
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,5,3,878.9445697593555
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,5,4,829.5851507384743
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,5,5,838.9155225595249
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,1,901.985408106626
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,2,799.1752372439131
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,3,922.6481651440587
